GEO.id,GEO.id2,GEO.display-label,D001,D026,D035,D036,D037,D038,D039
Id,Id2,Geography,Total:,Female:,Female: - 25 to 29 years,Female: - 30 to 34 years,Female: - 35 to 39 years,Female: - 40 to 44 years,Female: - 45 to 49 years
8600000US91301,91301,ZCTA5 91301,20204,10212,388,398,518,780,1098
8600000US91302,91302,ZCTA5 91302,20681,10440,333,342,577,841,1011
8600000US91303,91303,ZCTA5 91303,5958,2918,274,216,189,217,234
8600000US91304,91304,ZCTA5 91304,19471,9814,466,426,508,657,804
8600000US91306,91306,ZCTA5 91306,12527,6242,375,333,340,396,539
8600000US91307,91307,ZCTA5 91307,16413,8325,292,287,448,590,747
8600000US91311,91311,ZCTA5 91311,19873,10062,503,440,499,640,909
8600000US91316,91316,ZCTA5 91316,19625,10255,698,657,717,687,707
8600000US91321,91321,ZCTA5 91321,15052,7856,389,311,373,443,596
8600000US91324,91324,ZCTA5 91324,10655,5387,296,235,214,312,394
8600000US91325,91325,ZCTA5 91325,13667,6951,415,284,308,376,496
8600000US91326,91326,ZCTA5 91326,16979,8442,362,368,448,520,640
8600000US91330,91330,ZCTA5 91330,710,374,15,5,3,1,3
8600000US91331,91331,ZCTA5 91331,4358,2115,116,105,79,108,130
8600000US91335,91335,ZCTA5 91335,22785,11736,647,632,628,743,960
8600000US91340,91340,ZCTA5 91340,1579,806,47,50,26,47,56
8600000US91342,91342,ZCTA5 91342,12864,6371,293,262,330,379,515
8600000US91343,91343,ZCTA5 91343,12730,6329,329,312,311,373,508
8600000US91344,91344,ZCTA5 91344,24629,12382,576,524,653,826,1034
8600000US91345,91345,ZCTA5 91345,3471,1814,93,71,57,77,134
8600000US91350,91350,ZCTA5 91350,20731,10414,573,555,716,838,964
8600000US91351,91351,ZCTA5 91351,14691,7452,418,418,424,615,750
8600000US91352,91352,ZCTA5 91352,8132,4077,278,195,178,239,325
8600000US91354,91354,ZCTA5 91354,17722,8977,417,501,685,843,960
8600000US91355,91355,ZCTA5 91355,21538,10921,610,592,630,840,950
8600000US91356,91356,ZCTA5 91356,20852,10659,562,526,608,740,793
8600000US91361,91361,ZCTA5 91361,16652,8574,271,241,333,575,703
8600000US91362,91362,ZCTA5 91362,25961,13334,476,517,660,1046,1307
8600000US91364,91364,ZCTA5 91364,19467,9753,414,431,621,753,847
8600000US91367,91367,ZCTA5 91367,26753,13609,888,738,813,922,1020
8600000US91371,91371,ZCTA5 91371,1,1,0,0,0,0,0
8600000US91381,91381,ZCTA5 91381,10842,5365,273,240,424,638,559
8600000US91384,91384,ZCTA5 91384,13318,6101,281,321,424,588,662
8600000US91387,91387,ZCTA5 91387,18796,9190,554,503,640,768,912
8600000US91390,91390,ZCTA5 91390,13402,6597,210,242,415,672,737
8600000US91401,91401,ZCTA5 91401,17883,8975,625,582,612,607,720
8600000US91402,91402,ZCTA5 91402,6792,3428,221,168,155,184,226
8600000US91403,91403,ZCTA5 91403,17196,8784,788,745,721,696,641
8600000US91405,91405,ZCTA5 91405,12574,6260,457,381,349,419,492
8600000US91406,91406,ZCTA5 91406,15135,7433,452,473,519,521,636
8600000US91411,91411,ZCTA5 91411,8457,4219,352,341,317,294,309
8600000US91423,91423,ZCTA5 91423,22654,11626,1011,923,952,940,932
8600000US91436,91436,ZCTA5 91436,12025,6134,183,216,337,446,467
8600000US91501,91501,ZCTA5 91501,14255,7196,635,532,531,528,595
8600000US91502,91502,ZCTA5 91502,5486,2863,259,186,152,168,182
8600000US91504,91504,ZCTA5 91504,13906,7081,456,434,417,499,578
8600000US91505,91505,ZCTA5 91505,17778,8894,648,680,675,751,792
8600000US91506,91506,ZCTA5 91506,10863,5542,307,310,367,450,503
8600000US91601,91601,ZCTA5 91601,14511,6858,1003,716,600,494,442
8600000US91602,91602,ZCTA5 91602,11947,5807,682,631,535,478,440
8600000US91604,91604,ZCTA5 91604,22455,11190,910,893,896,926,907
8600000US91605,91605,ZCTA5 91605,12452,6148,459,411,328,378,428
8600000US91606,91606,ZCTA5 91606,14428,7170,526,504,447,477,509
8600000US91607,91607,ZCTA5 91607,18523,9312,833,753,658,693,643
8600000US91608,91608,ZCTA5 91608,0,0,0,0,0,0,0
8600000US91702,91702,ZCTA5 91702,10349,5476,289,234,226,286,333
8600000US91706,91706,ZCTA5 91706,3313,1667,100,83,74,84,126
8600000US91711,91711,ZCTA5 91711,21028,11003,417,358,450,620,727
8600000US91722,91722,ZCTA5 91722,7554,3813,186,171,199,218,316
8600000US91723,91723,ZCTA5 91723,5503,2878,170,150,140,179,227
8600000US91724,91724,ZCTA5 91724,9547,4860,215,186,201,306,423
8600000US91731,91731,ZCTA5 91731,1745,871,26,27,34,36,51
8600000US91732,91732,ZCTA5 91732,3116,1561,90,80,60,96,100
8600000US91733,91733,ZCTA5 91733,1408,690,35,24,37,36,40
8600000US91740,91740,ZCTA5 91740,11950,6138,323,295,324,370,552
8600000US91741,91741,ZCTA5 91741,17327,8850,349,320,443,616,822
8600000US91744,91744,ZCTA5 91744,4429,2265,113,83,106,109,150
8600000US91745,91745,ZCTA5 91745,8029,3946,141,124,153,194,242
8600000US91746,91746,ZCTA5 91746,1515,757,32,40,39,32,47
8600000US91748,91748,ZCTA5 91748,4404,2134,95,89,82,110,141
8600000US91750,91750,ZCTA5 91750,18377,9577,379,355,405,554,801
8600000US91754,91754,ZCTA5 91754,1659,775,28,40,37,35,31
8600000US91755,91755,ZCTA5 91755,1337,638,27,22,28,25,31
8600000US91759,91759,ZCTA5 91759,406,197,8,6,9,15,25
8600000US91765,91765,ZCTA5 91765,10180,5000,248,206,205,248,375
8600000US91766,91766,ZCTA5 91766,6639,3139,247,156,161,177,243
8600000US91767,91767,ZCTA5 91767,7630,4015,263,214,235,260,306
8600000US91768,91768,ZCTA5 91768,5034,2451,130,94,84,110,164
8600000US91770,91770,ZCTA5 91770,3024,1513,50,47,60,66,83
8600000US91773,91773,ZCTA5 91773,17240,8938,418,355,414,526,740
8600000US91775,91775,ZCTA5 91775,6154,3137,109,117,177,212,226
8600000US91776,91776,ZCTA5 91776,2558,1300,72,54,50,51,58
8600000US91780,91780,ZCTA5 91780,7703,3968,154,176,165,196,274
8600000US91789,91789,ZCTA5 91789,6394,3090,112,107,96,125,220
8600000US91790,91790,ZCTA5 91790,7052,3653,167,148,150,185,258
8600000US91791,91791,ZCTA5 91791,6742,3481,123,104,127,167,233
8600000US91792,91792,ZCTA5 91792,2577,1275,81,70,59,89,107
8600000US91801,91801,ZCTA5 91801,5714,2915,178,161,147,152,157
8600000US91803,91803,ZCTA5 91803,2627,1376,55,65,54,75,59
8600000US92397,92397,ZCTA5 92397,4069,1938,85,85,114,134,171
8600000US93243,93243,ZCTA5 93243,1146,548,24,16,23,32,62
8600000US93510,93510,ZCTA5 93510,5912,2906,87,89,114,245,387
8600000US93532,93532,ZCTA5 93532,2158,993,42,55,45,82,113
8600000US93534,93534,ZCTA5 93534,14027,7327,506,383,321,352,546
8600000US93535,93535,ZCTA5 93535,20348,10389,688,557,509,621,866
8600000US93536,93536,ZCTA5 93536,33405,16381,944,843,885,1090,1575
8600000US93543,93543,ZCTA5 93543,4038,1947,77,74,77,140,221
8600000US93544,93544,ZCTA5 93544,836,383,9,9,12,17,27
8600000US93550,93550,ZCTA5 93550,13772,7025,444,348,352,460,646
8600000US93551,93551,ZCTA5 93551,23534,11644,474,516,628,834,1253
8600000US93552,93552,ZCTA5 93552,6115,3047,179,147,165,200,302
8600000US93553,93553,ZCTA5 93553,1388,651,40,23,26,46,54
8600000US93560,93560,ZCTA5 93560,9435,4670,333,293,260,328,396
8600000US93563,93563,ZCTA5 93563,271,99,3,3,4,8,13
8600000US93591,93591,ZCTA5 93591,2380,1191,71,64,44,74,115
